milestone_id,project_id,milestone,planned_date,actual_date,slippage_days
MS-1057,OG-1005,Equipment Mobilization,1/17/2026,1/17/2026,0
MS-1058,OG-1020,Site Preparation,5/2/2023,5/15/2023,13
MS-1059,OG-1015,Primary Operations,1/29/2024,2/25/2024,27
MS-1060,OG-1007,Equipment Mobilization,12/8/2023,12/5/2023,-3
MS-1061,OG-1023,Equipment Mobilization,10/24/2025,10/27/2025,3
MS-1062,OG-1032,Quality Inspection,7/9/2023,6/23/2023,-16
MS-1063,OG-1026,Project Closeout,1/12/2024,12/25/2023,-18
MS-1064,OG-1008,Project Closeout,4/3/2025,4/27/2025,24
MS-1065,OG-1024,Quality Inspection,9/21/2023,10/26/2023,35
MS-1066,OG-1011,Quality Inspection,12/10/2025,12/15/2025,5
MS-1067,OG-1040,Project Closeout,10/8/2023,11/5/2023,28
MS-1068,OG-1044,Equipment Mobilization,7/3/2024,7/17/2024,14
MS-1069,OG-1035,Equipment Mobilization,10/20/2024,10/14/2024,-6
MS-1070,OG-1031,Primary Operations,6/21/2024,7/5/2024,14
MS-1071,OG-1008,Equipment Mobilization,6/2/2024,7/11/2024,39
MS-1072,OG-1020,Quality Inspection,9/14/2023,9/20/2023,6
MS-1073,OG-1039,Site Preparation,4/8/2025,5/17/2025,39
MS-1074,OG-1022,Site Preparation,1/31/2025,12/14/2024,-48
MS-1075,OG-1031,Equipment Mobilization,3/18/2024,4/11/2024,24
MS-1076,OG-1012,Quality Inspection,6/14/2024,6/22/2024,8
MS-1077,OG-1035,Project Closeout,4/29/2023,4/29/2023,0
MS-1078,OG-1041,Quality Inspection,7/19/2023,7/27/2023,8
MS-1079,OG-1026,Quality Inspection,6/30/2023,5/27/2023,-34
MS-1080,OG-1026,Quality Inspection,10/12/2024,10/14/2024,2
MS-1081,OG-1031,Equipment Mobilization,9/30/2024,10/14/2024,14
MS-1082,OG-1005,Project Closeout,11/15/2025,12/23/2025,38
MS-1083,OG-1001,Equipment Mobilization,11/4/2023,11/1/2023,-3
MS-1084,OG-1018,Site Preparation,9/24/2025,9/15/2025,-9
MS-1085,OG-1017,Equipment Mobilization,3/25/2024,3/22/2024,-3
MS-1086,OG-1034,Primary Operations,3/25/2025,4/20/2025,26
MS-1087,OG-1010,Quality Inspection,9/1/2023,9/14/2023,13
MS-1088,OG-1036,Quality Inspection,4/24/2024,4/20/2024,-4
MS-1089,OG-1035,Project Closeout,9/23/2025,10/10/2025,17
MS-1090,OG-1007,Project Closeout,6/30/2024,7/9/2024,9
MS-1091,OG-1007,Primary Operations,8/4/2024,8/31/2024,27
MS-1092,OG-1049,Project Closeout,4/21/2024,4/14/2024,-7
MS-1093,OG-1023,Project Closeout,4/5/2025,4/5/2025,0
MS-1094,OG-1048,Site Preparation,4/21/2023,4/20/2023,-1
MS-1095,OG-1048,Quality Inspection,4/29/2025,4/6/2025,-23
MS-1096,OG-1034,Equipment Mobilization,1/14/2024,1/27/2024,13
MS-1097,OG-1027,Site Preparation,11/18/2024,11/30/2024,12
MS-1098,OG-1047,Equipment Mobilization,8/30/2025,9/6/2025,7
MS-1099,OG-1019,Site Preparation,11/25/2025,11/27/2025,2
MS-1100,OG-1028,Primary Operations,8/21/2023,7/30/2023,-22
MS-1101,OG-1022,Site Preparation,10/14/2023,10/13/2023,-1
MS-1102,OG-1028,Site Preparation,4/23/2025,4/23/2025,0
MS-1103,OG-1049,Equipment Mobilization,3/11/2024,3/2/2024,-9
MS-1104,OG-1013,Project Closeout,4/1/2025,4/4/2025,3
MS-1105,OG-1044,Primary Operations,6/6/2025,6/21/2025,15
MS-1106,OG-1045,Project Closeout,7/7/2023,8/22/2023,46
MS-1107,OG-1040,Quality Inspection,11/21/2024,12/1/2024,10
MS-1108,OG-1010,Project Closeout,12/26/2025,1/7/2026,12
MS-1109,OG-1008,Equipment Mobilization,3/1/2025,3/6/2025,5
MS-1110,OG-1013,Site Preparation,6/10/2023,5/8/2023,-33
MS-1111,OG-1036,Primary Operations,8/4/2025,8/10/2025,6
MS-1112,OG-1034,Primary Operations,9/21/2024,9/29/2024,8
MS-1113,OG-1038,Project Closeout,10/13/2025,12/10/2025,58
MS-1114,OG-1010,Primary Operations,11/21/2023,11/23/2023,2
MS-1115,OG-1045,Primary Operations,3/4/2025,3/17/2025,13
MS-1116,OG-1018,Project Closeout,5/1/2025,5/7/2025,6
MS-1117,OG-1017,Project Closeout,11/14/2023,10/28/2023,-17
MS-1118,OG-1043,Site Preparation,7/28/2025,8/27/2025,30
MS-1119,OG-1008,Quality Inspection,3/11/2023,4/2/2023,22
MS-1120,OG-1003,Primary Operations,3/2/2024,3/25/2024,23
MS-1121,OG-1041,Equipment Mobilization,2/8/2026,1/27/2026,-12
MS-1122,OG-1044,Equipment Mobilization,10/14/2023,11/19/2023,36
MS-1123,OG-1015,Equipment Mobilization,12/20/2023,11/28/2023,-22
MS-1124,OG-1045,Primary Operations,9/17/2024,10/6/2024,19
MS-1125,OG-1015,Quality Inspection,3/28/2025,5/19/2025,52
MS-1126,OG-1031,Equipment Mobilization,6/26/2023,6/13/2023,-13
MS-1127,OG-1036,Primary Operations,8/27/2024,8/23/2024,-4
MS-1128,OG-1040,Quality Inspection,8/13/2024,8/22/2024,9
MS-1129,OG-1024,Quality Inspection,11/6/2024,11/3/2024,-3
MS-1130,OG-1004,Site Preparation,5/13/2023,4/18/2023,-25
MS-1131,OG-1025,Project Closeout,12/9/2024,12/17/2024,8
MS-1132,OG-1047,Primary Operations,6/5/2024,5/21/2024,-15
MS-1133,OG-1044,Primary Operations,12/5/2025,12/21/2025,16
MS-1134,OG-1029,Quality Inspection,9/10/2024,8/29/2024,-12
MS-1135,OG-1020,Project Closeout,7/18/2025,8/26/2025,39
MS-1136,OG-1000,Site Preparation,4/8/2024,3/30/2024,-9
MS-1137,OG-1046,Quality Inspection,10/2/2024,10/2/2024,0
MS-1138,OG-1040,Primary Operations,12/22/2023,1/15/2024,24
MS-1139,OG-1004,Project Closeout,8/18/2025,7/31/2025,-18
MS-1140,OG-1025,Equipment Mobilization,5/7/2023,5/18/2023,11
MS-1141,OG-1027,Equipment Mobilization,6/6/2025,7/10/2025,34
MS-1142,OG-1031,Primary Operations,1/8/2024,12/13/2023,-26
MS-1143,OG-1020,Primary Operations,3/16/2025,3/26/2025,10
MS-1144,OG-1021,Project Closeout,7/4/2024,7/16/2024,12
MS-1145,OG-1036,Equipment Mobilization,7/4/2025,7/27/2025,23
MS-1146,OG-1036,Quality Inspection,12/9/2025,11/21/2025,-18
MS-1147,OG-1021,Site Preparation,6/10/2024,5/21/2024,-20
MS-1148,OG-1002,Site Preparation,7/20/2023,8/6/2023,17
MS-1149,OG-1040,Quality Inspection,5/9/2024,5/22/2024,13
