labor_id,project_id,trade,hours,rate,date
L-1034,OG-1020,Heavy Equipment Operator,169.75,103.21,2024-12-08
L-1035,OG-1012,Heavy Equipment Operator,162.26,84.81,2023-08-28
L-1036,OG-1047,Pipeline Welder,150.8,76.6,2025-10-25
L-1037,OG-1035,Drilling Engineer,78.5,67.07,2024-03-25
L-1038,OG-1037,Saftey Inspector,159.89,93.82,2023-03-24
L-1039,OG-1028,Pipeline Welder,126.59,128.34,2024-03-10
L-1040,OG-1047,Pipeline Welder,160.85,74.8,2025-11-01
L-1041,OG-1042,Saftey Inspector,85.76,130.93,2025-10-27
L-1042,OG-1048,Pipeline Welder,164.09,68.59,2025-03-08
L-1043,OG-1012,Pipeline Welder,13.67,70.71,2024-08-24
L-1044,OG-1030,Saftey Inspector,205.14,52.65,2023-10-02
L-1045,OG-1026,Saftey Inspector,53.11,118.12,2023-10-12
L-1046,OG-1031,Heavy Equipment Operator,64.6,113.89,2024-10-02
L-1047,OG-1000,Drilling Engineer,188.59,67.98,2023-04-07
L-1048,OG-1044,Saftey Inspector,115.78,103.53,2025-04-09
L-1049,OG-1007,Heavy Equipment Operator,38.93,93.79,2024-09-20
L-1050,OG-1033,Saftey Inspector,146.14,144.75,2025-06-18
L-1051,OG-1028,Saftey Inspector,197.08,138.66,2023-05-13
L-1052,OG-1027,Saftey Inspector,111.45,61.71,2025-07-09
L-1053,OG-1030,Heavy Equipment Operator,68.13,70.96,2025-02-21
L-1054,OG-1040,Instrumentation Tech,185.67,99.74,2025-04-10
L-1055,OG-1040,Pipeline Welder,71.71,53.14,2026-01-10
L-1056,OG-1018,Pipeline Welder,71.04,78.57,2025-12-19
L-1057,OG-1034,Drilling Engineer,40.1,69.28,2023-10-08
L-1058,OG-1044,Pipeline Welder,171.89,51.74,2024-07-13
L-1059,OG-1026,Instrumentation Tech,133.89,88.66,2024-06-05
L-1060,OG-1013,Heavy Equipment Operator,98.36,125.83,2023-12-05
L-1061,OG-1044,Drilling Engineer,206.76,125.39,2025-07-23
L-1062,OG-1024,Heavy Equipment Operator,9.37,81.93,2024-09-23
L-1063,OG-1048,Heavy Equipment Operator,206.0,145.11,2024-09-16
L-1064,OG-1026,Saftey Inspector,181.42,102.34,2025-08-11
L-1065,OG-1038,Pipeline Welder,121.27,73.66,2023-06-01
L-1066,OG-1031,Drilling Engineer,98.21,115.23,2025-01-19
L-1067,OG-1025,Pipeline Welder,203.0,141.55,2024-05-07
L-1068,OG-1039,Saftey Inspector,14.26,86.37,2025-07-09
L-1069,OG-1036,Drilling Engineer,27.48,90.0,2024-11-19
L-1070,OG-1029,Pipeline Welder,19.67,84.81,2025-10-06
L-1071,OG-1013,Heavy Equipment Operator,83.83,124.93,2024-03-29
L-1072,OG-1024,Instrumentation Tech,182.47,132.35,2025-10-25
L-1073,OG-1016,Drilling Engineer,117.11,123.65,2025-02-09
L-1074,OG-1003,Instrumentation Tech,60.02,52.2,2026-01-08
L-1075,OG-1041,Drilling Engineer,182.98,144.71,2025-04-18
L-1076,OG-1012,Drilling Engineer,152.15,70.05,2025-04-15
L-1077,OG-1030,Drilling Engineer,138.84,67.89,2025-06-12
L-1078,OG-1044,Instrumentation Tech,185.92,62.62,2023-06-06
L-1079,OG-1038,Drilling Engineer,188.45,62.2,2023-06-11
L-1080,OG-1019,Drilling Engineer,142.25,142.53,2024-01-09
L-1081,OG-1036,Heavy Equipment Operator,100.02,120.08,2026-03-06
L-1082,OG-1004,Saftey Inspector,168.22,110.86,2025-04-13
L-1083,OG-1006,Instrumentation Tech,205.27,108.04,2024-05-11
L-1084,OG-1007,Saftey Inspector,189.57,81.46,2023-11-22
L-1085,OG-1027,Instrumentation Tech,24.0,112.99,2025-11-13
L-1086,OG-1000,Heavy Equipment Operator,198.78,56.08,2026-02-09
L-1087,OG-1023,Heavy Equipment Operator,172.1,90.73,2025-02-08
L-1088,OG-1046,Saftey Inspector,231.99,73.36,2025-02-23
L-1089,OG-1034,Heavy Equipment Operator,115.85,131.7,2024-01-12
L-1090,OG-1037,Instrumentation Tech,82.77,70.78,2024-10-18
L-1091,OG-1005,Instrumentation Tech,212.54,70.61,2023-12-03
L-1092,OG-1029,Saftey Inspector,149.6,84.79,2024-01-03
L-1093,OG-1001,Heavy Equipment Operator,205.42,64.09,2025-04-06
L-1094,OG-1013,Instrumentation Tech,193.1,80.74,2024-07-20
L-1095,OG-1038,Instrumentation Tech,136.94,99.25,2023-06-14
L-1096,OG-1012,Drilling Engineer,63.99,87.67,2026-01-03
L-1097,OG-1035,Pipeline Welder,168.22,112.82,2025-08-06
L-1098,OG-1031,Heavy Equipment Operator,191.96,54.77,2023-07-21
L-1099,OG-1014,Heavy Equipment Operator,168.49,77.15,2025-06-22
L-1100,OG-1037,Instrumentation Tech,117.8,100.75,2026-02-23
L-1101,OG-1027,Saftey Inspector,84.74,118.8,2025-11-14
L-1102,OG-1017,Instrumentation Tech,66.33,57.67,2024-03-02
L-1103,OG-1012,Instrumentation Tech,35.74,101.27,2026-01-26
L-1104,OG-1048,Pipeline Welder,52.44,122.55,2025-10-05
L-1105,OG-1017,Saftey Inspector,234.57,100.09,2025-11-21
L-1106,OG-1018,Drilling Engineer,201.17,76.11,2024-04-09
L-1107,OG-1023,Pipeline Welder,78.13,119.34,2023-12-03
L-1108,OG-1008,Instrumentation Tech,18.56,50.73,2023-10-25
L-1109,OG-1018,Pipeline Welder,155.99,124.04,2026-02-22
L-1110,OG-1006,Drilling Engineer,141.18,94.29,2023-04-07
L-1111,OG-1028,Instrumentation Tech,50.77,50.39,2026-03-03
L-1112,OG-1030,Drilling Engineer,198.73,87.07,2023-04-02
L-1113,OG-1004,Saftey Inspector,154.03,50.63,2023-07-15
L-1114,OG-1009,Saftey Inspector,228.2,53.94,2025-12-14
L-1115,OG-1015,Drilling Engineer,137.47,88.7,2025-05-27
L-1116,OG-1038,Saftey Inspector,60.36,99.87,2025-04-19
L-1117,OG-1028,Heavy Equipment Operator,76.99,106.8,2024-01-09
L-1118,OG-1027,Instrumentation Tech,139.92,51.32,2026-01-01
L-1119,OG-1047,Drilling Engineer,227.84,66.82,2025-01-01
L-1120,OG-1013,Instrumentation Tech,161.22,61.49,2023-10-04
L-1121,OG-1011,Saftey Inspector,25.42,45.28,2025-09-10
L-1122,OG-1028,Saftey Inspector,117.02,48.43,2025-11-13
L-1123,OG-1018,Instrumentation Tech,171.09,92.67,2023-09-08
L-1124,OG-1043,Pipeline Welder,222.35,127.72,2024-06-01
L-1125,OG-1040,Saftey Inspector,161.39,143.04,2025-12-05
L-1126,OG-1027,Drilling Engineer,134.34,113.0,2025-07-17
L-1127,OG-1017,Pipeline Welder,24.57,62.42,2025-10-21
L-1128,OG-1019,Saftey Inspector,181.76,104.77,2023-09-26
L-1129,OG-1018,Heavy Equipment Operator,36.85,117.31,2024-09-04
L-1130,OG-1044,Heavy Equipment Operator,226.7,97.55,2023-04-28
L-1131,OG-1031,Heavy Equipment Operator,26.66,49.19,2025-07-11
L-1132,OG-1027,Instrumentation Tech,148.06,47.72,2025-06-30
L-1133,OG-1014,Saftey Inspector,144.21,47.18,2023-10-17
L-1134,OG-1048,Instrumentation Tech,141.69,125.13,2024-08-30
L-1135,OG-1011,Heavy Equipment Operator,128.4,91.43,2025-03-03
L-1136,OG-1017,Pipeline Welder,239.29,90.77,2025-08-06
L-1137,OG-1031,Drilling Engineer,117.04,87.88,2026-01-18
L-1138,OG-1020,Drilling Engineer,206.99,79.63,2025-07-16
L-1139,OG-1044,Heavy Equipment Operator,74.87,144.25,2025-08-22
L-1140,OG-1048,Saftey Inspector,16.51,54.25,2025-02-08
L-1141,OG-1016,Instrumentation Tech,34.89,126.12,2025-06-21
L-1142,OG-1032,Drilling Engineer,160.58,101.97,2024-10-21
L-1143,OG-1026,Drilling Engineer,51.52,82.99,2024-07-29
L-1144,OG-1048,Heavy Equipment Operator,153.09,124.8,2023-12-22
L-1145,OG-1013,Instrumentation Tech,135.42,142.41,2025-06-05
L-1146,OG-1028,Heavy Equipment Operator,36.17,147.18,2024-04-15
L-1147,OG-1038,Pipeline Welder,172.67,77.63,2023-03-24
L-1148,OG-1000,Saftey Inspector,102.65,68.59,2024-07-04
L-1149,OG-1007,Heavy Equipment Operator,227.72,113.01,2025-12-16
L-1150,OG-1009,Heavy Equipment Operator,224.38,75.65,2024-05-24
L-1151,OG-1045,Instrumentation Tech,104.39,95.66,2025-05-24
L-1152,OG-1030,Pipeline Welder,113.97,60.19,2025-12-27
L-1153,OG-1012,Saftey Inspector,125.91,137.33,2025-03-27
L-1154,OG-1004,Instrumentation Tech,187.26,134.71,2023-07-03
L-1155,OG-1021,Saftey Inspector,69.98,45.27,2024-09-02
L-1156,OG-1046,Instrumentation Tech,202.29,105.89,2026-02-23
L-1157,OG-1042,Heavy Equipment Operator,208.74,91.89,2024-05-17
L-1158,OG-1030,Instrumentation Tech,85.13,125.1,2025-11-03
L-1159,OG-1024,Heavy Equipment Operator,224.42,136.31,2026-02-28
L-1160,OG-1044,Pipeline Welder,140.66,69.52,2024-06-08
L-1161,OG-1049,Heavy Equipment Operator,18.13,123.19,2024-04-01
L-1162,OG-1045,Heavy Equipment Operator,97.57,114.69,2023-07-10
L-1163,OG-1041,Pipeline Welder,122.92,48.89,2026-01-06
L-1164,OG-1032,Saftey Inspector,85.02,55.54,2023-06-14
L-1165,OG-1028,Drilling Engineer,130.02,92.98,2025-07-07
L-1166,OG-1046,Pipeline Welder,103.12,113.75,2025-06-26
L-1167,OG-1009,Drilling Engineer,116.92,146.77,2024-01-07
L-1168,OG-1021,Saftey Inspector,168.71,113.23,2023-07-29
L-1169,OG-1021,Saftey Inspector,96.16,78.25,2026-02-03
L-1170,OG-1045,Heavy Equipment Operator,210.39,48.77,2024-06-08
L-1171,OG-1004,Pipeline Welder,154.43,141.7,2024-11-27
L-1172,OG-1014,Drilling Engineer,108.68,55.34,2025-07-01
L-1173,OG-1040,Drilling Engineer,110.93,117.87,2023-12-17
L-1174,OG-1001,Drilling Engineer,83.25,50.89,2023-07-13
L-1175,OG-1022,Instrumentation Tech,107.92,70.64,2024-11-16
L-1176,OG-1026,Saftey Inspector,166.18,63.91,2023-09-15
L-1177,OG-1011,Drilling Engineer,149.4,85.17,2023-11-25
L-1178,OG-1043,Pipeline Welder,123.46,106.23,2026-01-17
L-1179,OG-1014,Heavy Equipment Operator,155.99,93.25,2024-11-18
L-1180,OG-1042,Drilling Engineer,216.55,93.85,2023-09-21
L-1181,OG-1018,Saftey Inspector,44.65,91.38,2024-06-20
L-1182,OG-1022,Saftey Inspector,77.4,146.01,2024-05-14
L-1183,OG-1044,Instrumentation Tech,113.99,76.72,2024-09-26
L-1184,OG-1024,Heavy Equipment Operator,32.74,85.04,2023-07-22
L-1185,OG-1022,Saftey Inspector,76.64,118.42,2024-03-04
L-1186,OG-1001,Heavy Equipment Operator,71.68,104.42,2025-08-17
L-1187,OG-1043,Drilling Engineer,219.26,123.24,2024-10-09
L-1188,OG-1018,Pipeline Welder,148.84,81.99,2024-07-09
L-1189,OG-1040,Pipeline Welder,152.05,116.17,2025-06-30
L-1190,OG-1046,Pipeline Welder,153.75,139.86,2026-01-03
L-1191,OG-1041,Drilling Engineer,79.67,91.29,2025-07-03
L-1192,OG-1037,Instrumentation Tech,177.91,54.46,2024-05-06
L-1193,OG-1018,Instrumentation Tech,181.42,63.44,2026-01-19
L-1194,OG-1008,Saftey Inspector,211.34,83.42,2024-01-07
L-1195,OG-1032,Instrumentation Tech,200.67,71.98,2024-05-10
L-1196,OG-1030,Instrumentation Tech,181.2,80.57,2025-12-16
L-1197,OG-1007,Heavy Equipment Operator,231.39,59.78,2025-11-03
L-1198,OG-1014,Heavy Equipment Operator,232.41,129.48,2025-02-07
L-1199,OG-1023,Drilling Engineer,191.44,46.46,2023-03-18
L-1200,OG-1034,Drilling Engineer,113.51,115.65,2023-08-20
L-1201,OG-1043,Instrumentation Tech,143.62,131.35,2024-11-29
L-1202,OG-1023,Drilling Engineer,164.56,94.51,2024-06-16
L-1203,OG-1039,Saftey Inspector,84.1,109.06,2023-08-27
L-1204,OG-1041,Drilling Engineer,155.41,93.75,2024-07-08
L-1205,OG-1044,Instrumentation Tech,158.62,57.25,2024-05-11
L-1206,OG-1002,Drilling Engineer,78.61,96.73,2023-06-23
L-1207,OG-1006,Pipeline Welder,213.84,59.24,2024-09-03
L-1208,OG-1029,Instrumentation Tech,163.55,123.03,2024-01-04
L-1209,OG-1034,Heavy Equipment Operator,144.26,121.29,2025-12-29
L-1210,OG-1026,Drilling Engineer,201.42,109.64,2023-08-29
L-1211,OG-1017,Drilling Engineer,168.15,67.81,2025-03-07
L-1212,OG-1028,Pipeline Welder,206.46,55.43,2025-12-29
L-1213,OG-1043,Instrumentation Tech,134.32,147.67,2025-09-06
L-1214,OG-1022,Drilling Engineer,100.37,64.93,2024-02-22
L-1215,OG-1007,Heavy Equipment Operator,29.27,67.27,2023-03-29
L-1216,OG-1040,Saftey Inspector,233.29,50.31,2024-02-08
L-1217,OG-1021,Pipeline Welder,237.41,127.63,2024-09-14
L-1218,OG-1013,Drilling Engineer,200.52,103.19,2024-09-12
L-1219,OG-1037,Pipeline Welder,196.63,69.46,2026-01-28
L-1220,OG-1049,Pipeline Welder,190.97,107.58,2024-08-26
L-1221,OG-1017,Pipeline Welder,237.11,101.72,2024-07-21
L-1222,OG-1011,Drilling Engineer,161.37,47.71,2026-03-02
L-1223,OG-1000,Instrumentation Tech,191.28,69.98,2024-02-04
L-1224,OG-1020,Drilling Engineer,48.43,50.5,2025-04-14
L-1225,OG-1047,Heavy Equipment Operator,130.05,123.29,2025-11-09
L-1226,OG-1030,Heavy Equipment Operator,188.5,98.89,2025-07-21
L-1227,OG-1006,Heavy Equipment Operator,124.89,144.27,2023-10-28
L-1228,OG-1002,Saftey Inspector,77.98,112.55,2025-01-02
L-1229,OG-1001,Drilling Engineer,239.67,133.97,2026-02-18
L-1230,OG-1027,Drilling Engineer,121.74,140.52,2024-10-31
L-1231,OG-1004,Drilling Engineer,82.73,60.58,2024-12-26
L-1232,OG-1008,Instrumentation Tech,152.84,106.46,2023-07-30
L-1233,OG-1045,Instrumentation Tech,96.37,107.73,2025-03-27
L-1234,OG-1018,Heavy Equipment Operator,125.29,90.17,2025-01-17
L-1235,OG-1044,Drilling Engineer,205.85,113.35,2025-09-06
L-1236,OG-1049,Saftey Inspector,175.23,67.58,2025-03-26
L-1237,OG-1028,Pipeline Welder,104.0,131.88,2023-05-10
L-1238,OG-1025,Heavy Equipment Operator,177.27,77.82,2023-12-04
L-1239,OG-1020,Instrumentation Tech,94.84,61.03,2024-09-09
L-1240,OG-1030,Drilling Engineer,29.16,53.96,2024-05-07
L-1241,OG-1027,Drilling Engineer,180.74,84.13,2023-07-20
L-1242,OG-1008,Saftey Inspector,21.92,145.45,2024-03-09
L-1243,OG-1035,Instrumentation Tech,163.44,88.13,2023-07-10
L-1244,OG-1042,Heavy Equipment Operator,209.4,120.71,2024-07-05
L-1245,OG-1018,Saftey Inspector,80.49,55.88,2025-09-27
L-1246,OG-1032,Pipeline Welder,43.9,95.63,2024-06-26
L-1247,OG-1006,Instrumentation Tech,204.13,83.59,2024-11-09
L-1248,OG-1048,Instrumentation Tech,141.19,129.76,2023-08-16
L-1249,OG-1035,Saftey Inspector,150.35,112.48,2025-02-14
L-1250,OG-1001,Saftey Inspector,223.55,132.09,2024-08-14
L-1251,OG-1017,Drilling Engineer,49.86,118.78,2023-09-20
L-1252,OG-1019,Instrumentation Tech,89.44,64.05,2026-01-15
L-1253,OG-1009,Saftey Inspector,160.5,52.31,2025-06-23
L-1254,OG-1047,Drilling Engineer,29.29,100.7,2026-01-03
L-1255,OG-1024,Heavy Equipment Operator,113.25,61.53,2025-02-25
L-1256,OG-1019,Instrumentation Tech,188.23,104.6,2023-12-15
L-1257,OG-1005,Drilling Engineer,44.09,124.22,2024-07-29
L-1258,OG-1003,Drilling Engineer,71.13,114.5,2025-05-03
L-1259,OG-1031,Saftey Inspector,110.55,73.68,2023-05-27
L-1260,OG-1048,Saftey Inspector,34.41,90.14,2025-12-09
L-1261,OG-1018,Saftey Inspector,120.9,115.05,2025-02-20
L-1262,OG-1002,Pipeline Welder,99.7,107.93,2024-07-19
L-1263,OG-1000,Pipeline Welder,77.93,67.18,2025-07-29
L-1264,OG-1008,Instrumentation Tech,75.15,57.6,2025-03-09
L-1265,OG-1031,Heavy Equipment Operator,48.76,84.92,2023-07-05
L-1266,OG-1045,Pipeline Welder,124.06,132.5,2023-03-11
L-1267,OG-1022,Drilling Engineer,100.12,122.91,2025-01-27
L-1268,OG-1027,Drilling Engineer,114.66,53.18,2024-08-11
L-1269,OG-1020,Saftey Inspector,107.59,87.46,2024-01-29
L-1270,OG-1040,Heavy Equipment Operator,75.17,87.53,2025-04-18
L-1271,OG-1020,Pipeline Welder,193.91,109.9,2023-06-10
L-1272,OG-1044,Instrumentation Tech,28.45,133.67,2025-07-09
L-1273,OG-1015,Heavy Equipment Operator,144.62,100.02,2025-05-15
L-1274,OG-1025,Instrumentation Tech,181.03,68.27,2024-02-23
L-1275,OG-1049,Pipeline Welder,25.72,111.49,2024-05-15
L-1276,OG-1033,Saftey Inspector,52.99,126.5,2023-11-02
L-1277,OG-1022,Pipeline Welder,62.81,60.38,2025-10-13
L-1278,OG-1012,Pipeline Welder,147.76,124.82,2025-01-31
L-1279,OG-1041,Drilling Engineer,49.1,126.15,2024-12-29
L-1280,OG-1031,Heavy Equipment Operator,183.03,124.79,2023-10-04
L-1281,OG-1028,Saftey Inspector,157.17,148.59,2025-03-15
L-1282,OG-1020,Instrumentation Tech,43.02,52.17,2024-04-29
L-1283,OG-1028,Instrumentation Tech,192.75,107.1,2023-07-15
L-1284,OG-1022,Saftey Inspector,25.21,93.48,2023-10-19
L-1285,OG-1002,Drilling Engineer,93.55,75.14,2023-08-28
L-1286,OG-1041,Drilling Engineer,150.68,98.24,2024-06-19
L-1287,OG-1029,Saftey Inspector,136.6,128.14,2024-08-23
L-1288,OG-1002,Heavy Equipment Operator,218.9,105.02,2023-11-26
L-1289,OG-1012,Instrumentation Tech,148.36,97.64,2024-09-04
L-1290,OG-1003,Heavy Equipment Operator,32.01,139.41,2024-07-15
L-1291,OG-1021,Drilling Engineer,125.06,63.12,2024-10-03
L-1292,OG-1015,Heavy Equipment Operator,237.91,100.03,2026-01-31
L-1293,OG-1039,Pipeline Welder,92.42,141.38,2025-05-04
L-1294,OG-1024,Heavy Equipment Operator,187.68,116.28,2023-06-06
L-1295,OG-1003,Instrumentation Tech,23.29,54.92,2025-06-24
L-1296,OG-1043,Heavy Equipment Operator,73.92,120.99,2025-11-21
L-1297,OG-1042,Saftey Inspector,210.6,80.0,2025-06-27
L-1298,OG-1037,Pipeline Welder,220.69,77.57,2024-11-22
L-1299,OG-1041,Heavy Equipment Operator,37.92,119.43,2023-03-16
