material_id,project_id,material_type,quantity,unit_cost,date
M-1109,OG-1023,Valve Assembly,183.6,4035.79,2025-12-30
M-1110,OG-1036,Safety Equipment,98.13,5554.57,2023-12-05
M-1111,OG-1004,Valve Assembly,252.62,7655.82,2024-08-05
M-1112,OG-1017,Safety Equipment,340.52,1232.17,2025-08-02
M-1113,OG-1006,Valve Assembly,187.23,9868.54,2023-10-17
M-1114,OG-1035,Cement,377.73,2030.63,2024-08-04
M-1115,OG-1032,Valve Assembly,250.54,500.77,2024-06-05
M-1116,OG-1008,Cement,402.18,5217.36,2023-11-23
M-1117,OG-1009,Safety Equipment,446.67,1440.82,2023-11-23
M-1118,OG-1039,Cement,82.09,9906.63,2026-02-23
M-1119,OG-1047,Cement,297.27,5097.78,2023-12-24
M-1120,OG-1032,Safety Equipment,245.43,5651.1,2025-08-24
M-1121,OG-1030,Steel Pipe,184.81,6754.37,2023-06-04
M-1122,OG-1026,Safety Equipment,154.53,8992.73,2025-09-10
M-1123,OG-1044,Steel Pipe,298.86,2692.03,2026-01-26
M-1124,OG-1041,Safety Equipment,289.24,7227.93,2025-08-18
M-1125,OG-1037,Valve Assembly,86.09,6308.8,2026-02-26
M-1126,OG-1039,Valve Assembly,74.74,6823.23,2023-12-25
M-1127,OG-1002,Safety Equipment,474.15,1143.46,2025-05-05
M-1128,OG-1001,Valve Assembly,157.53,1556.74,2024-04-13
M-1129,OG-1044,Drilling Fluid,205.78,7760.97,2025-03-24
M-1130,OG-1030,Steel Pipe,353.18,5210.9,2023-05-20
M-1131,OG-1035,Cement,499.06,4809.79,2023-10-23
M-1132,OG-1024,Cement,478.39,4623.65,2023-12-05
M-1133,OG-1034,Cement,273.59,6774.89,2025-01-12
M-1134,OG-1046,Cement,305.43,1963.03,2025-05-12
M-1135,OG-1015,Cement,279.49,2287.43,2024-07-15
M-1136,OG-1019,Cement,352.75,6917.89,2025-01-06
M-1137,OG-1031,Cement,240.42,5626.85,2025-07-26
M-1138,OG-1046,Cement,144.61,5756.09,2025-04-08
M-1139,OG-1034,Valve Assembly,447.98,3975.6,2025-02-04
M-1140,OG-1022,Drilling Fluid,145.94,2911.92,2023-06-07
M-1141,OG-1045,Steel Pipe,173.84,4451.64,2024-05-14
M-1142,OG-1016,Valve Assembly,107.78,8288.12,2025-01-01
M-1143,OG-1017,Safety Equipment,348.39,1415.87,2025-06-23
M-1144,OG-1039,Safety Equipment,120.4,555.12,2023-05-09
M-1145,OG-1033,Drilling Fluid,319.33,572.29,2023-11-12
M-1146,OG-1026,Cement,358.96,1050.42,2024-10-22
M-1147,OG-1049,Drilling Fluid,3.59,5526.01,2023-07-26
M-1148,OG-1010,Valve Assembly,326.79,8812.44,2026-01-05
M-1149,OG-1030,Valve Assembly,325.62,7571.32,2024-08-14
M-1150,OG-1018,Cement,143.42,638.67,2024-04-30
M-1151,OG-1049,Steel Pipe,326.5,2360.59,2024-02-10
M-1152,OG-1047,Steel Pipe,456.7,1791.89,2024-05-06
M-1153,OG-1011,Steel Pipe,498.59,4000.1,2025-11-12
M-1154,OG-1031,Drilling Fluid,468.37,9623.21,2024-02-26
M-1155,OG-1018,Steel Pipe,5.62,5701.22,2023-12-08
M-1156,OG-1006,Cement,143.0,9891.54,2026-03-06
M-1157,OG-1034,Safety Equipment,247.46,9388.68,2024-06-06
M-1158,OG-1032,Valve Assembly,137.15,8097.7,2025-04-13
M-1159,OG-1021,Drilling Fluid,365.83,6500.44,2023-05-25
M-1160,OG-1045,Drilling Fluid,8.03,3404.27,2024-11-15
M-1161,OG-1018,Safety Equipment,337.53,1971.95,2023-04-06
M-1162,OG-1039,Valve Assembly,413.67,5177.04,2025-07-25
M-1163,OG-1005,Valve Assembly,334.96,1888.57,2023-12-10
M-1164,OG-1008,Valve Assembly,162.48,2518.07,2025-08-03
M-1165,OG-1016,Valve Assembly,118.53,7549.88,2025-06-07
M-1166,OG-1021,Cement,291.65,5750.13,2025-04-10
M-1167,OG-1016,Cement,346.69,668.14,2025-09-03
M-1168,OG-1007,Valve Assembly,154.1,4083.9,2025-02-20
M-1169,OG-1032,Cement,345.45,6405.18,2024-09-20
M-1170,OG-1018,Cement,307.7,2230.33,2024-06-30
M-1171,OG-1008,Valve Assembly,77.44,7489.96,2023-05-22
M-1172,OG-1038,Cement,208.51,5514.88,2024-03-14
M-1173,OG-1030,Safety Equipment,401.2,8264.75,2024-03-07
M-1174,OG-1048,Drilling Fluid,340.49,5978.35,2024-01-06
M-1175,OG-1005,Safety Equipment,223.93,7052.47,2024-01-10
M-1176,OG-1004,Safety Equipment,56.99,8296.3,2024-06-23
M-1177,OG-1032,Drilling Fluid,286.78,1541.03,2024-12-24
M-1178,OG-1020,Safety Equipment,221.48,6818.94,2025-03-12
M-1179,OG-1045,Safety Equipment,244.93,8993.95,2025-05-17
M-1180,OG-1028,Steel Pipe,227.26,5156.82,2025-09-01
M-1181,OG-1029,Safety Equipment,29.81,4650.66,2025-07-14
M-1182,OG-1019,Steel Pipe,198.58,8173.71,2024-08-09
M-1183,OG-1047,Drilling Fluid,289.58,500.63,2023-09-14
M-1184,OG-1022,Steel Pipe,271.04,649.54,2024-09-06
M-1185,OG-1004,Valve Assembly,16.84,4118.23,2025-12-29
M-1186,OG-1049,Drilling Fluid,383.15,9784.42,2024-09-09
M-1187,OG-1041,Valve Assembly,187.86,8918.77,2025-01-13
M-1188,OG-1028,Valve Assembly,188.45,6843.17,2023-11-03
M-1189,OG-1042,Safety Equipment,67.36,8609.85,2026-01-27
M-1190,OG-1007,Drilling Fluid,496.43,3960.93,2024-02-04
M-1191,OG-1008,Drilling Fluid,417.58,7573.99,2024-11-23
M-1192,OG-1019,Valve Assembly,337.08,5467.23,2023-10-23
M-1193,OG-1034,Valve Assembly,411.86,2512.74,2024-12-18
M-1194,OG-1022,Drilling Fluid,138.55,9377.23,2024-07-07
M-1195,OG-1046,Steel Pipe,17.08,6618.97,2023-08-22
M-1196,OG-1039,Steel Pipe,121.09,719.54,2023-06-14
M-1197,OG-1038,Steel Pipe,223.77,6736.64,2024-09-19
M-1198,OG-1003,Drilling Fluid,370.53,4052.54,2026-01-03
M-1199,OG-1014,Safety Equipment,109.42,8644.12,2025-02-23
M-1200,OG-1003,Drilling Fluid,252.44,2928.17,2025-11-03
M-1201,OG-1046,Safety Equipment,160.13,5999.28,2025-05-24
M-1202,OG-1043,Cement,119.22,8768.77,2023-12-12
M-1203,OG-1042,Safety Equipment,111.3,3039.98,2024-03-22
M-1204,OG-1003,Safety Equipment,474.31,8803.15,2024-04-08
M-1205,OG-1011,Valve Assembly,278.37,516.5,2024-08-25
M-1206,OG-1022,Valve Assembly,393.12,3221.41,2023-05-25
M-1207,OG-1026,Valve Assembly,75.46,3795.78,2024-06-15
M-1208,OG-1048,Safety Equipment,237.29,8500.94,2023-04-11
M-1209,OG-1019,Drilling Fluid,403.08,9151.67,2024-06-26
M-1210,OG-1035,Valve Assembly,483.93,5595.0,2024-03-27
M-1211,OG-1008,Valve Assembly,122.19,2073.2,2023-09-21
M-1212,OG-1041,Steel Pipe,461.19,8478.98,2025-01-05
M-1213,OG-1005,Safety Equipment,362.57,1945.29,2023-03-16
M-1214,OG-1017,Valve Assembly,337.16,6049.07,2025-05-31
M-1215,OG-1004,Drilling Fluid,402.52,5896.46,2023-04-25
M-1216,OG-1042,Safety Equipment,109.29,2128.45,2024-12-14
M-1217,OG-1021,Cement,478.55,202.57,2024-12-04
M-1218,OG-1012,Steel Pipe,373.69,7555.59,2024-08-06
M-1219,OG-1015,Safety Equipment,352.18,3996.49,2023-12-31
M-1220,OG-1015,Safety Equipment,161.49,2866.44,2025-03-30
M-1221,OG-1029,Safety Equipment,324.71,3118.8,2024-06-06
M-1222,OG-1023,Safety Equipment,441.52,4686.74,2023-07-23
M-1223,OG-1046,Valve Assembly,381.05,3236.32,2025-03-03
M-1224,OG-1013,Cement,157.15,504.87,2024-11-24
M-1225,OG-1014,Drilling Fluid,9.09,5555.45,2024-07-22
M-1226,OG-1037,Safety Equipment,360.29,2987.16,2024-08-02
M-1227,OG-1012,Cement,115.78,5719.41,2023-08-04
M-1228,OG-1015,Valve Assembly,275.77,9437.47,2025-01-02
M-1229,OG-1021,Cement,381.92,4911.78,2023-09-01
M-1230,OG-1046,Valve Assembly,230.95,7341.08,2025-01-16
M-1231,OG-1022,Drilling Fluid,70.84,5488.14,2026-01-25
M-1232,OG-1011,Safety Equipment,495.17,9574.51,2025-09-26
M-1233,OG-1033,Steel Pipe,419.7,789.59,2024-12-01
M-1234,OG-1042,Steel Pipe,382.41,4153.3,2024-05-09
M-1235,OG-1040,Drilling Fluid,34.92,1552.74,2023-04-02
M-1236,OG-1013,Safety Equipment,228.55,651.48,2025-07-22
M-1237,OG-1040,Safety Equipment,456.46,6609.88,2024-10-04
M-1238,OG-1001,Steel Pipe,266.57,4142.82,2025-01-08
M-1239,OG-1001,Safety Equipment,361.37,5380.59,2026-02-27
M-1240,OG-1018,Steel Pipe,251.61,6993.7,2024-05-17
M-1241,OG-1027,Drilling Fluid,54.4,1008.32,2023-08-10
M-1242,OG-1009,Drilling Fluid,96.77,5288.24,2023-10-03
M-1243,OG-1022,Cement,397.67,836.24,2023-06-30
M-1244,OG-1025,Valve Assembly,282.94,9902.82,2025-07-26
M-1245,OG-1014,Cement,342.34,8486.28,2024-04-26
M-1246,OG-1041,Steel Pipe,47.66,3823.68,2025-09-09
M-1247,OG-1035,Valve Assembly,29.0,144.03,2025-04-06
M-1248,OG-1010,Steel Pipe,250.43,4367.4,2024-08-26
M-1249,OG-1021,Safety Equipment,488.69,9739.71,2026-01-09
M-1250,OG-1033,Steel Pipe,115.65,9017.67,2024-04-21
M-1251,OG-1044,Safety Equipment,238.27,513.29,2023-09-25
M-1252,OG-1004,Cement,449.76,5656.92,2026-01-22
M-1253,OG-1002,Drilling Fluid,464.45,3179.12,2024-03-30
M-1254,OG-1013,Safety Equipment,72.95,8215.87,2026-02-01
M-1255,OG-1025,Steel Pipe,150.34,5661.38,2023-05-05
M-1256,OG-1036,Valve Assembly,338.84,5428.6,2025-01-28
M-1257,OG-1024,Drilling Fluid,395.46,6908.64,2023-08-16
M-1258,OG-1005,Safety Equipment,372.98,3491.3,2023-11-29
M-1259,OG-1006,Valve Assembly,116.84,806.38,2023-09-08
M-1260,OG-1038,Safety Equipment,477.47,3997.2,2025-08-20
M-1261,OG-1049,Cement,15.78,2769.6,2025-08-18
M-1262,OG-1028,Valve Assembly,114.84,5552.73,2023-09-12
M-1263,OG-1024,Valve Assembly,93.68,5879.46,2023-04-28
M-1264,OG-1024,Steel Pipe,386.31,2989.03,2024-10-01
M-1265,OG-1015,Steel Pipe,41.94,1584.5,2023-09-29
M-1266,OG-1045,Drilling Fluid,370.09,3200.95,2024-10-12
M-1267,OG-1006,Steel Pipe,3.59,3117.26,2025-06-18
M-1268,OG-1023,Cement,52.01,918.61,2023-07-28
M-1269,OG-1027,Valve Assembly,278.94,5148.79,2025-10-23
M-1270,OG-1006,Steel Pipe,45.72,5564.49,2024-02-12
M-1271,OG-1038,Safety Equipment,392.43,8644.0,2025-04-22
M-1272,OG-1000,Cement,207.49,7802.73,2024-09-13
M-1273,OG-1046,Safety Equipment,452.7,9782.82,2024-06-07
M-1274,OG-1036,Safety Equipment,85.62,3838.28,2025-10-23
M-1275,OG-1008,Cement,151.26,4956.58,2025-04-24
M-1276,OG-1004,Drilling Fluid,217.9,4239.97,2023-11-24
M-1277,OG-1030,Steel Pipe,181.2,9445.01,2023-07-30
M-1278,OG-1046,Valve Assembly,297.31,1995.7,2025-11-14
M-1279,OG-1006,Drilling Fluid,153.02,9490.79,2025-07-03
M-1280,OG-1021,Safety Equipment,190.57,8628.87,2025-01-06
M-1281,OG-1028,Cement,215.88,8244.18,2023-04-25
M-1282,OG-1041,Safety Equipment,68.93,3240.62,2025-06-05
M-1283,OG-1044,Drilling Fluid,240.03,1817.49,2023-10-27
M-1284,OG-1025,Cement,146.43,6964.83,2023-04-04
M-1285,OG-1031,Safety Equipment,391.21,3292.57,2024-04-26
M-1286,OG-1017,Valve Assembly,183.14,9324.07,2023-08-31
M-1287,OG-1012,Safety Equipment,498.64,1840.28,2023-12-01
M-1288,OG-1049,Safety Equipment,14.43,7285.77,2024-04-30
M-1289,OG-1045,Drilling Fluid,219.79,2948.75,2025-12-31
M-1290,OG-1044,Steel Pipe,409.66,7966.79,2024-05-20
M-1291,OG-1026,Valve Assembly,70.45,3063.18,2023-08-24
M-1292,OG-1016,Drilling Fluid,357.9,7901.31,2023-06-02
M-1293,OG-1004,Valve Assembly,495.36,4818.39,2025-07-03
M-1294,OG-1025,Safety Equipment,253.8,9207.9,2025-05-31
M-1295,OG-1044,Valve Assembly,272.28,7917.67,2025-03-12
M-1296,OG-1023,Safety Equipment,297.32,9148.29,2025-01-30
M-1297,OG-1006,Drilling Fluid,329.14,3582.34,2024-03-31
M-1298,OG-1041,Safety Equipment,23.1,9836.9,2024-02-11
M-1299,OG-1043,Valve Assembly,483.44,3349.39,2024-04-24
